hotel,agent,company,country,market_segment,distribution_channel,customer_type,Random_Forest_Probability,Calibrated_Random_Forest_Probability,Naive_Bias_Probability,Isotonic_Calibrated_Naive_Bias_Probability,Sigmoid_Calibrated_Naive_Bias_Probability,cancelation_Score,prediction,actual_value
Resort Hotel,241.0,,PRT,Online TA,TA/TO,Transient,0.2686930206329873,0.17150825541073686,0.860967571665801,0.5322726878541809,0.3521209566469554,0.45002835085043946,0,0
Resort Hotel,240.0,,PRT,Online TA,TA/TO,Transient,0.46190419185513776,0.678631215140211,0.5513526988504137,0.3479238290960608,0.26094965494492584,0.490922454979081,0,1
Resort Hotel,240.0,,ESP,Online TA,TA/TO,Transient,0.3031336609436913,0.21494213587303596,0.9225431888445539,0.5702777167434052,0.43379017592637376,0.5083097195203535,1,0
Resort Hotel,242.0,,PRT,Online TA,TA/TO,Transient,0.42852077215718726,0.5512249626227538,0.8943869960693355,0.5530258574269955,0.4302479444794066,0.6087940573884041,1,1
Resort Hotel,240.0,,PRT,Online TA,TA/TO,Transient,0.28672991977290657,0.18744220112196666,0.8595003469426036,0.5314169068266442,0.346338786756291,0.45641350573775896,0,0
Resort Hotel,5.0,,PRT,Offline TA/TO,TA/TO,Transient,0.1322394262177673,0.044961117397025976,0.6375927859171373,0.3963248729030975,0.29330999960705884,0.29560606757783564,0,0
Resort Hotel,240.0,,PRT,Online TA,TA/TO,Transient,0.4544280642969386,0.6369691217539486,0.9317845791088447,0.5758955327640971,0.4440022156287717,0.6518519565536353,1,1
Resort Hotel,240.0,,PRT,Online TA,TA/TO,Transient,0.20734034841292284,0.10112369579403284,1.655216032044667e-37,0.10609127345231797,0.035394058110285856,0.06824569658111215,0,0
Resort Hotel,147.0,,GBR,Online TA,TA/TO,Transient,0.34726813109682864,0.342760042734034,0.9171910905707025,0.5670280590266518,0.4302479444794066,0.5470723472274576,1,0
Resort Hotel,40.0,,PRT,Offline TA/TO,TA/TO,Contract,0.06792541354283532,0.02655106875896988,0.004872950895731386,0.10832321712184403,0.19708791409076476,0.05380364433910753,0,0
Resort Hotel,,,PRT,Complementary,Direct,Transient,0.1827587037611189,0.07570261524291344,2.783291544044848e-08,0.10609128669929535,0.19708791409076476,0.09153566818657954,0,0
Resort Hotel,240.0,,ESP,Online TA,TA/TO,Transient,0.2800971696639622,0.1795486682762511,0.6888323838340347,0.4248795401904452,0.29883404183706447,0.38203744516403976,0,0
Resort Hotel,240.0,,FRA,Online TA,TA/TO,Transient-Party,0.38156683137862885,0.383901380413588,0.24969255094984344,0.20618466099519778,0.21654444708025727,0.29405301164143766,0,0
Resort Hotel,240.0,,PRT,Online TA,TA/TO,Transient,0.2683343214076271,0.1867396863266426,0.7024692537840826,0.4348323786242876,0.29883404183706447,0.3861169289411761,0,1
Resort Hotel,240.0,,PRT,Online TA,TA/TO,Transient,0.2660173663664564,0.1427895030381495,0.9163762604426409,0.5665276198911695,0.4302479444794066,0.4790811114258671,0,0
Resort Hotel,240.0,,PRT,Online TA,TA/TO,Transient,0.2683343214076271,0.1867396863266426,0.7024692537840826,0.4348323786242876,0.29883404183706447,0.3861169289411761,0,1
Resort Hotel,240.0,,PRT,Online TA,TA/TO,Transient,0.4033350475945208,0.580196210966452,1.0,0.5942289431705599,0.9010114231460371,0.7446028348674075,1,1
Resort Hotel,175.0,,ESP,Offline TA/TO,TA/TO,Transient,0.16881923905194246,0.06009223542952487,0.7229491858060529,0.4452829559578929,0.3058166139516957,0.3400443314128337,0,0
Resort Hotel,5.0,,PRT,Offline TA/TO,TA/TO,Transient,0.04346326638443847,0.017916410329097382,0.0,0.10609127345231797,0.035394058110285856,0.0090292797476826,0,0
Resort Hotel,243.0,,GBR,Offline TA/TO,TA/TO,Contract,0.15140191368412778,0.04384627434055087,0.010259087211888828,0.11079945795414459,0.19708791409076476,0.07962262694959385,0,0
Resort Hotel,241.0,,USA,Online TA,TA/TO,Transient,0.024993269698574697,0.017187523268994583,0.0,0.10609127345231797,0.035394058110285856,0.004444758832130257,0,0
Resort Hotel,96.0,,CN,Offline TA/TO,TA/TO,Transient,0.07702137306727835,0.02866874132464442,0.49220216718555304,0.316464771709376,0.24155374430706597,0.21801839666997644,0,0
Resort Hotel,,,PRT,Direct,Direct,Transient,0.1793021635010086,0.06825843635160404,1.0,0.6024575386617831,0.9010114231460371,0.5692472141984288,1,0
Resort Hotel,175.0,,PRT,Offline TA/TO,TA/TO,Transient,0.14644441994986546,0.04535914947058684,0.9349786878453662,0.5778301807320301,0.4440022156287717,0.43653410899307,0,0
Resort Hotel,240.0,,ESP,Online TA,TA/TO,Transient,0.03595857388588252,0.020089586569756644,0.0,0.10609127345231797,0.035394058110285856,0.007763076287819935,0,0
Resort Hotel,240.0,,PRT,Online TA,TA/TO,Transient,0.31578961879968176,0.22060475164378426,0.9093211279980481,0.5621485960337165,0.4302479444794066,0.5072641233156562,1,0
Resort Hotel,240.0,,PRT,Online TA,TA/TO,Transient,0.3670620426041349,0.4625486632201463,0.7008566648021576,0.4338926295394813,0.29883404183706447,0.4757571567334087,0,1
Resort Hotel,127.0,,PRT,Offline TA/TO,TA/TO,Transient,0.13524352789402172,0.0430590665961327,0.7383022568095,0.45647690927101736,0.31114677360863563,0.33487435871850846,0,0
Resort Hotel,240.0,,PRT,Online TA,TA/TO,Transient,0.4475636703110024,0.6180073067604459,0.8764569238073434,0.5419572028695078,0.4185282783745327,0.6205842129736525,1,1
Resort Hotel,95.0,,USA,Offline TA/TO,TA/TO,Transient,0.09907026954652283,0.03195812425777465,0.8222238281029919,0.5083672943417827,0.34604902550106986,0.36082644023236377,0,0
Resort Hotel,134.0,,PRT,Offline TA/TO,TA/TO,Transient,0.4404093863973072,0.5459240210309796,0.9437553214709922,0.5831632355992727,0.44890198761251315,0.6317797738876612,1,1
Resort Hotel,240.0,,PRT,Online TA,TA/TO,Transient,0.47511080548658885,0.6858006836700892,0.1865872156845731,0.18240077541497107,0.21550063794821286,0.3701201133182958,0,1
Resort Hotel,8.0,,IRL,Offline TA/TO,TA/TO,Transient,0.25664995392790096,0.1614171700481256,0.7410125970218581,0.4581226720978259,0.31114677360863563,0.3933969482841492,0,0
Resort Hotel,156.0,,IRL,Offline TA/TO,TA/TO,Contract,0.25126084555135175,0.17848105301078473,0.009642375875539538,0.11053019563233371,0.19708791409076476,0.13579017856146,0,0
Resort Hotel,240.0,,PRT,Online TA,TA/TO,Transient,0.028382286092006524,0.01845373996093876,0.0,0.10609127345231797,0.035394058110285856,0.005559557852496676,0,0
Resort Hotel,105.0,,PRT,Offline TA/TO,TA/TO,Transient,0.10171920010012442,0.03910730368151606,0.8946780984305904,0.5531446364774879,0.4302479444794066,0.40715922858730963,0,0
Resort Hotel,240.0,,DNK,Online TA,TA/TO,Transient-Party,0.1581257360992474,0.0649856693271487,0.00015565141105773568,0.10616260216306236,0.19708791409076476,0.08311668065757195,0,0
Resort Hotel,240.0,,DNK,Online TA,TA/TO,Transient-Party,0.15697215213315457,0.0649033706599281,0.04526339290559836,0.12641748333218056,0.19708791409076476,0.09709046972429816,0,0
Resort Hotel,240.0,,PRT,Online TA,TA/TO,Transient,0.4033748349723246,0.544806268700055,1.0,0.6159905829156194,0.9244947977480887,0.7459396594534684,1,1
Resort Hotel,240.0,,PRT,Online TA,TA/TO,Transient,0.4493878806781177,0.5989923977228547,0.9239035461744904,0.5711255331517366,0.4356664349191795,0.6368925854632665,1,1
Resort Hotel,143.0,,GBR,Offline TA/TO,TA/TO,Contract,0.1736019709791475,0.06735479890155824,0.009616861816538947,0.11072443470870937,0.19708791409076476,0.090444222408482,0,0
Resort Hotel,240.0,,PRT,Online TA,TA/TO,Transient,0.3871680469335298,0.3961198542197372,0.978686904041878,0.6041519946127236,0.5661702019686212,0.6206887157120426,1,0
Resort Hotel,240.0,,PRT,Online TA,TA/TO,Transient,0.23296311505264294,0.11453087200546841,0.028408313754617744,0.11852709072193793,0.19708791409076476,0.12181553249633716,0,0
Resort Hotel,,,PRT,Direct,Direct,Transient-Party,0.1161291345067153,0.04130647539674907,0.015318446382332153,0.11271733242152855,0.19708791409076476,0.07211327630107163,0,0
Resort Hotel,241.0,,GBR,Online TA,TA/TO,Transient,0.3192287477458043,0.2726115676819265,8.174097613923379e-36,0.10609127345231797,0.035394058110285856,0.13638124506360352,0,0
Resort Hotel,240.0,,ESP,Online TA,TA/TO,Transient,0.2976545203493007,0.19596732655551113,0.9233868183324112,0.5708241022119573,0.43379017592637376,0.5027212553386585,1,0
Resort Hotel,240.0,,PRT,Direct,TA/TO,Transient,0.30552087146434687,0.2145232221456282,4.326379423816579e-36,0.10609127345231797,0.035394058110285856,0.11907580645319643,0,0
Resort Hotel,240.0,,PRT,Online TA,TA/TO,Transient,0.47870018559747396,0.6778707357223479,0.9259885359118692,0.572374366042441,0.43838829029041476,0.664267164050202,1,1
Resort Hotel,240.0,,ESP,Online TA,TA/TO,Transient,0.15889955689289867,0.06267135885364845,0.862804686185412,0.5335232868277188,0.3594702575318328,0.39980720581122237,0,0
Resort Hotel,175.0,,ESP,Offline TA/TO,TA/TO,Transient,0.17363127857649124,0.07204531995568034,0.9427835481479387,0.5825702648695733,0.4482006889112145,0.4531254049073113,0,0
Resort Hotel,242.0,,PRT,Online TA,TA/TO,Transient,0.3173228034045594,0.23551848274470003,0.9180714408057448,0.567574378664193,0.4302479444794066,0.5143278088321527,1,0
Resort Hotel,240.0,,PRT,Online TA,TA/TO,Transient,0.43427112896081205,0.5951509943586157,0.18538774044092893,0.1809246375801008,0.21550063794821286,0.3378882066315505,0,1
Resort Hotel,240.0,,PRT,Online TA,TA/TO,Transient,0.0957012264554585,0.028135804094881183,0.0,0.10609127345231797,0.035394058110285856,0.023966378636714865,0,0
Resort Hotel,240.0,,CN,Online TA,TA/TO,Transient,0.0600256590520213,0.021866977453412907,1.0,0.5756828772584626,0.8850223066287516,0.5202349060741915,1,0
Resort Hotel,243.0,,GBR,Offline TA/TO,TA/TO,Transient,0.1687405104468819,0.06002981118605584,0.7469048663789902,0.46173611224229455,0.31114677360863563,0.34999552656676897,0,0
Resort Hotel,241.0,,PRT,Online TA,TA/TO,Transient,0.40570817002389487,0.4647849705225382,0.9171766701727353,0.5670205534138848,0.4302479444794066,0.5904962130896371,1,1
Resort Hotel,147.0,,GBR,Offline TA/TO,TA/TO,Transient,0.26337845389705516,0.1513089944566582,0.938454973024574,0.5799513813950105,0.4482006889112145,0.49217904877385604,0,0
Resort Hotel,8.0,,ITA,Offline TA/TO,TA/TO,Contract,0.08241673081812,0.028448840508052048,0.0006954674382040455,0.10640890582908269,0.19708791409076476,0.056391053003575144,0,0
Resort Hotel,240.0,,PRT,Online TA,TA/TO,Transient,0.45282320165350587,0.6081086032751025,0.928526549867633,0.573944265846117,0.4440022156287717,0.6433592413397359,1,1
Resort Hotel,240.0,,FIN,Online TA,TA/TO,Transient,0.17950983246473692,0.0648342225533342,7.698214458085246e-42,0.10609127345231797,0.035394058110285856,0.05283587587412383,0,0
Resort Hotel,240.0,,USA,Online TA,TA/TO,Transient,0.053111836067407464,0.019985732176321797,0.0,0.10609127345231797,0.035394058110285856,0.011832135298730735,0,0
Resort Hotel,167.0,,PRT,Corporate,Corporate,Transient,0.15791921706352924,0.05933591314170787,0.28774126323851806,0.22163786216802017,0.21667156572432508,0.17396801430010192,0,0
Resort Hotel,15.0,,PRT,Offline TA/TO,TA/TO,Transient,0.3350451518537022,0.327016917267651,0.7626712116241243,0.47139456301061705,0.311763808741844,0.4598760211116571,0,1
Resort Hotel,250.0,,ESP,Direct,Direct,Transient,0.10138906393313869,0.03293101053732698,0.005190161378322937,0.10833401943381446,0.19708791409076476,0.0634037104231572,0,0
Resort Hotel,,,PRT,Direct,Direct,Transient,0.14804793974630256,0.04477709339272312,0.20820585690680432,0.18948851984372334,0.21550063794821286,0.14345765235712585,0,0
Resort Hotel,240.0,,PRT,Online TA,TA/TO,Transient,0.2987953303666439,0.19055313361947473,0.9228064358719752,0.5704600451488391,0.43379017592637376,0.501479346644805,1,0
Resort Hotel,8.0,,FIN,Offline TA/TO,TA/TO,Contract,0.1902411567227852,0.07218897314422998,0.046159923817602415,0.126764901433592,0.19708791409076476,0.1070628311174659,0,0
Resort Hotel,171.0,,PRT,Offline TA/TO,TA/TO,Transient,0.19914018109275763,0.07097122958644343,0.7698008404513369,0.4757777753368731,0.3223678159676602,0.3704079832991322,0,1
Resort Hotel,240.0,,PRT,Online TA,TA/TO,Transient,0.01998305538018709,0.01535309727849667,0.0,0.10609127345231797,0.035394058110285856,0.0028057370761433624,0,0
Resort Hotel,240.0,,PRT,Online TA,TA/TO,Transient,0.45574520562873944,0.6354433177600685,0.18814385826959504,0.18300031475270676,0.21550063794821286,0.3538027294020708,0,1
Resort Hotel,,,PRT,Direct,Direct,Transient-Party,0.11504164593592592,0.047931575941728796,1.0,0.5759690985876845,0.9010114231460371,0.5432161217544457,1,0
Resort Hotel,241.0,,SWE,Online TA,TA/TO,Transient,0.14860839563582445,0.057995418318176215,0.14500048203692736,0.16541500675435383,0.21336108152560246,0.12726432973043242,0,0
Resort Hotel,240.0,,GBR,Online TA,TA/TO,Transient,0.11109347613718525,0.03467422384333622,1.0,0.5756828772584626,0.8850223066287516,0.5355179171799136,1,0
Resort Hotel,305.0,,PRT,Groups,Direct,Transient-Party,0.21083769902055902,0.1009962005412863,0.10014529897234731,0.1480074870505686,0.2105631261852742,0.13830277474119662,0,0
Resort Hotel,305.0,,PRT,Groups,Direct,Transient-Party,0.13361760965056863,0.05889427246847032,0.004464033768744774,0.10804453386461596,0.19708791409076476,0.07714681907424462,0,0
Resort Hotel,305.0,,PRT,Groups,Direct,Transient-Party,0.21083769902055902,0.1009962005412863,0.10014529897234731,0.1480074870505686,0.2105631261852742,0.13830277474119662,0,0
Resort Hotel,240.0,,PRT,Online TA,TA/TO,Transient,0.3018921896398628,0.22943651957735653,1.0,0.6152214724122835,0.9130365249099448,0.6428578565973309,1,1
Resort Hotel,,,PRT,Direct,Direct,Transient,0.035740700424740326,0.016109197080939774,1.0,0.5756828772584626,0.8850223066287516,0.5130475304928159,1,0
Resort Hotel,240.0,,PRT,Online TA,TA/TO,Transient,0.13350433197373304,0.04535084852026712,1.0,0.61260768560081,0.9096553266359122,0.5568847334633912,1,0
Resort Hotel,240.0,,DNK,Online TA,TA/TO,Transient,0.15351765860705063,0.0600401982579772,0.8521033833368292,0.5269020034680654,0.346338786756291,0.3912387028990658,0,0
Resort Hotel,250.0,,PRT,Direct,Direct,Transient,0.21151809407791342,0.08683857679694543,0.23320069631709023,0.19939290965184037,0.21654444708025727,0.17661498445387225,0,1
Resort Hotel,240.0,,PRT,Online TA,TA/TO,Transient,0.35869531169119745,0.4215400537475533,0.7123239195700065,0.44080063210140946,0.29883404183706447,0.46786427695763394,0,1
Resort Hotel,196.0,,PRT,Offline TA/TO,TA/TO,Transient,0.16968205530566005,0.07422865078167545,0.9454523007349593,0.5841900620800095,0.45145061269634956,0.4543559649615883,0,0
Resort Hotel,250.0,,PRT,Direct,Direct,Transient,0.3940867437686588,0.5499994713452857,1.0,0.5956120883731015,0.9010114231460371,0.7354021250706484,1,1
Resort Hotel,240.0,,PRT,Online TA,TA/TO,Transient,0.1648788679264926,0.07244977747487812,0.005360636630928775,0.10843201291056896,0.19708791409076476,0.08816348534257253,0,0
Resort Hotel,240.0,,ESP,Online TA,TA/TO,Transient,0.032461647126337256,0.016936884292259667,0.0,0.10609127345231797,0.035394058110285856,0.00616676276442252,0,0
Resort Hotel,250.0,,FRA,Direct,Direct,Transient,0.25781324413137985,0.14448371837096313,0.0007228319245237109,0.10641951673842728,0.19708791409076476,0.12629608270573744,0,0
Resort Hotel,240.0,,MOZ,Online TA,TA/TO,Transient,0.034936913946412525,0.01813368303753588,0.0,0.10609127345231797,0.035394058110285856,0.007046696804681187,0,0
Resort Hotel,240.0,,BWA,Online TA,TA/TO,Transient,0.17213293197632945,0.07011886894567963,1.0,0.5756828772589239,0.8906041324169642,0.559868503821427,1,0
Resort Hotel,240.0,,DEU,Online TA,TA/TO,Transient,0.16108863232863357,0.06237057942225961,0.5028863248501935,0.32217914258975455,0.24445301130966496,0.25043849367711873,0,0
Resort Hotel,,,PRT,Direct,Direct,Transient,0.11211764023537782,0.039169203962947624,0.08635878479606326,0.1421744536458976,0.2047938306619478,0.09426083982059004,0,0
Resort Hotel,242.0,,PRT,Online TA,TA/TO,Transient,0.2998157580090416,0.19804509854071933,1.0,0.6159857326252289,0.9244947977480887,0.6374466045989536,1,1
Resort Hotel,240.0,,PRT,Online TA,TA/TO,Transient,0.09480765302996864,0.02907757111308648,0.0,0.10609127345231797,0.035394058110285856,0.023980622744833223,0,0
Resort Hotel,240.0,,PRT,Online TA,TA/TO,Transient,0.40342104862630374,0.5805878944337148,1.0,0.5947695791807669,0.9010114231460371,0.7448360126632265,1,1
Resort Hotel,,,PRT,Direct,Direct,Transient,0.11093394449613087,0.04017733721692558,1.0,0.5767922676646149,0.9010114231460371,0.5405420395063013,1,0
Resort Hotel,240.0,,ESP,Online TA,TA/TO,Transient,0.0876330601579101,0.02761656919077903,0.0,0.10609127345231797,0.035394058110285856,0.02191522200288788,0,0
Resort Hotel,5.0,,PRT,Offline TA/TO,TA/TO,Transient,0.11547630229561863,0.0343781331885315,0.0,0.10609127345231797,0.035394058110285856,0.030194395834606626,0,0
Resort Hotel,250.0,,PRT,Direct,Direct,Transient,0.11691282790282531,0.0385541820235022,0.02309526179255057,0.11611065530161509,0.19708791409076476,0.07407389951720285,0,0
Resort Hotel,196.0,,ESP,Offline TA/TO,TA/TO,Transient,0.11577030009101023,0.03918625707701302,0.8796300466687148,0.5438683596669696,0.4302479444794066,0.4052218958396218,0,0
Resort Hotel,115.0,,GBR,Offline TA/TO,TA/TO,Contract,0.057775887932006435,0.025749953304348143,0.009791822192311011,0.11059396228185994,0.19708791409076476,0.05275713961596905,0,0
Resort Hotel,240.0,,PRT,Online TA,TA/TO,Transient,0.3691966681285913,0.4779933972422546,0.6936597509411631,0.42958569014536874,0.29791227838253914,0.4772853842561121,0,1
Resort Hotel,241.0,,PRT,Online TA,TA/TO,Transient,0.16911261442554792,0.07055671910422169,1.0,0.6159089820510708,0.9165573462950529,0.5737006924725963,1,0
Resort Hotel,240.0,,PRT,Online TA,TA/TO,Transient,0.41268280220252584,0.47574508649014746,0.700781958903067,0.43377350518302904,0.29868461756001424,0.48975914882261146,0,1
Resort Hotel,115.0,,GBR,Offline TA/TO,TA/TO,Contract,0.057775887932006435,0.025749953304348143,0.009791822192311011,0.11059396228185994,0.19708791409076476,0.05275713961596905,0,0
Resort Hotel,240.0,,ESP,Online TA,TA/TO,Transient,0.29614823078938374,0.18259196032408692,8.086824989450729e-41,0.10609127345231797,0.035394058110285856,0.10912442650877548,0,0
Resort Hotel,240.0,,PRT,Online TA,TA/TO,Transient,0.45289553653879344,0.6093289374927761,1.0,0.6131871269065279,0.9096553266359122,0.7694958523042477,1,1
Resort Hotel,241.0,,PRT,Online TA,TA/TO,Transient,0.12749500015212337,0.043728728188104374,0.035216514887695526,0.12178498918980896,0.19708791409076476,0.0817346545196294,0,0
Resort Hotel,240.0,,PRT,Online TA,TA/TO,Transient,0.16301114796026164,0.0668772647844765,1.7241339686424974e-37,0.10609127345231797,0.035394058110285856,0.049391542600199026,0,0
Resort Hotel,175.0,,ESP,Offline TA/TO,TA/TO,Transient,0.19856259187157,0.08507793623103473,0.9385706695430812,0.5799753380219471,0.4482006889112145,0.46073840911558445,0,0
Resort Hotel,250.0,,PRT,Direct,Direct,Transient,0.47039762555181286,0.6550188603659721,1.0,0.5778623455100852,0.9010114231460371,0.7751129463604092,1,1
Resort Hotel,15.0,,PRT,Offline TA/TO,TA/TO,Transient,0.09376336381126059,0.03198777330524684,1.0,0.6149912204811675,0.9130365249099448,0.5454294090733094,1,0
Resort Hotel,142.0,,PRT,Offline TA/TO,TA/TO,Transient,0.07509177653091953,0.025848169039135067,1.0,0.5911901066676022,0.9010114231460371,0.5316685362508963,1,0
Resort Hotel,142.0,,PRT,Offline TA/TO,TA/TO,Transient,0.08830105809452383,0.028918179544551243,0.5790271174938647,0.3629749757038639,0.2717533799025144,0.25647141798516676,0,0
Resort Hotel,196.0,,PRT,Offline TA/TO,TA/TO,Transient,0.21603567987266645,0.09839367024790299,0.9415981694328379,0.5818678057373076,0.4482006889112145,0.4691999146043726,0,1
Resort Hotel,240.0,,PRT,Online TA,TA/TO,Transient,0.4525164375903786,0.6357183613255561,1.0,0.615268155707129,0.9165573462950529,0.7777418700129313,1,1
Resort Hotel,240.0,,PRT,Online TA,TA/TO,Transient,0.13041400020166954,0.04429386300155021,0.0024938497194437357,0.10720578602960837,0.19708791409076476,0.07224164400197283,0,0
Resort Hotel,240.0,,BRA,Online TA,TA/TO,Transient-Party,0.07388959512050201,0.02586735031237916,0.09939086639029432,0.14754594401415072,0.2105631261852742,0.08720000533069897,0,0
Resort Hotel,240.0,,ESP,Online TA,TA/TO,Transient-Party,0.09264835001980051,0.03461230882646367,0.252051353460488,0.20713234733978836,0.21654444708025727,0.1414304442428593,0,0
Resort Hotel,240.0,,ESP,Online TA,TA/TO,Transient-Party,0.06797089911535555,0.02570201828701508,0.06010674392139403,0.1318452009334829,0.2000381569942787,0.07144623830083473,0,0
Resort Hotel,240.0,,PRT,Online TA,TA/TO,Transient,0.18775773724318476,0.0757336920709896,0.6949325907327503,0.4302098471446795,0.29868461756001424,0.33737975529558983,0,0
Resort Hotel,6.0,,PRT,Offline TA/TO,TA/TO,Transient,0.3160104752851756,0.24771005106794614,0.8597087474841856,0.5299150523607834,0.3717195261727844,0.48322077161837584,0,1
Resort Hotel,147.0,,GBR,Online TA,TA/TO,Transient-Party,0.20689373188392735,0.10374157321144768,0.617938751530163,0.38522753064700216,0.2844536298713088,0.3189788560407135,0,0
Resort Hotel,240.0,,PRT,Direct,TA/TO,Transient,0.1338880963721199,0.0500053514582622,0.10787983207070913,0.15103240878669733,0.21336108152560246,0.1105771168605835,0,0
Resort Hotel,240.0,,ESP,Online TA,TA/TO,Transient,0.30578476699703677,0.2165979318497088,0.914635082110228,0.5654733490665586,0.4302479444794066,0.5057940235453477,1,0
Resort Hotel,95.0,,PRT,Offline TA/TO,TA/TO,Transient,0.4417284153339142,0.5650927764767385,0.9411352550639943,0.5815870292218916,0.4482006889112145,0.6356564378656164,1,1
Resort Hotel,240.0,,PRT,Online TA,TA/TO,Transient,0.26836241400112454,0.16740277023489328,0.927497281653374,0.5733170403817321,0.4440022156287717,0.4924997544373931,0,1
Resort Hotel,,,PRT,Direct,Direct,Transient,0.12356816168511939,0.036043711256947705,0.21230890503050406,0.19109776958416816,0.21550063794821286,0.1367519229787691,0,0
Resort Hotel,250.0,,IRL,Direct,Direct,Transient,0.3355330371656266,0.2573207949988864,0.22713556339380503,0.19697737582706884,0.21654444708025727,0.24555057057090257,0,0
Resort Hotel,242.0,,PRT,Online TA,TA/TO,Transient,0.3086570586627016,0.2235300751195984,0.9145569440748867,0.5654212550125595,0.4302479444794066,0.5081258983430286,1,0
Resort Hotel,240.0,,PRT,Online TA,TA/TO,Transient,0.14323285496471866,0.05252543594180879,0.06327675019491869,0.13320886209079388,0.2000381569942787,0.09687982681789749,0,0
Resort Hotel,142.0,,PRT,Offline TA/TO,TA/TO,Transient,0.08807730918110329,0.027659712673659447,0.0,0.10609127345231797,0.035394058110285856,0.022031678672971095,0,0
Resort Hotel,250.0,,PRT,Direct,Direct,Transient,0.3025166113321788,0.28587064484545344,0.11813853730555011,0.1547822854422262,0.21336108152560246,0.21086659463878218,0,1
Resort Hotel,240.0,,PRT,Online TA,TA/TO,Transient,0.5433504741796564,0.786297896059599,1.0,0.6167074632479659,0.9339187606156891,0.8399051793180045,1,1
Resort Hotel,240.0,,PRT,Online TA,TA/TO,Transient,0.4436050237079007,0.6360135162116277,0.6833212486496789,0.4216494177669313,0.2980617026595894,0.5292646248520652,1,1
Resort Hotel,241.0,,RUS,Online TA,TA/TO,Transient,0.28511746191224946,0.17898913981934883,0.9069977409711327,0.5608068358113878,0.4302479444794066,0.4890891886287362,0,0
Resort Hotel,134.0,,PRT,Offline TA/TO,TA/TO,Transient,0.47686290457965924,0.6579930694095123,0.8896725143660423,0.5500672545322247,0.4302479444794066,0.644451546620198,1,1
