hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
Resort Hotel,0,113,2015,July,27,2,2,5,2,0.0,0,BB,NOR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,156.0,,0,Transient-Party,67.58,0,2,Check-Out,2015-07-09
Resort Hotel,0,93,2015,July,27,2,3,8,2,0.0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,156.0,,0,Contract,56.01,0,0,Check-Out,2015-07-13
Resort Hotel,0,1,2015,July,27,2,0,1,2,2.0,0,BB,ESP,Direct,Direct,0,0,0,C,C,0,No Deposit,,,0,Transient,107.0,1,2,Check-Out,2015-07-03
Resort Hotel,0,0,2015,July,27,2,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,H,H,0,No Deposit,,,0,Transient,147.0,0,0,Check-Out,2015-07-03
Resort Hotel,0,0,2015,July,27,2,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,G,G,0,No Deposit,,,0,Transient,123.0,0,0,Check-Out,2015-07-03
Resort Hotel,0,10,2015,July,27,2,0,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,241.0,,0,Transient,117.81,0,0,Check-Out,2015-07-04
Resort Hotel,1,3,2015,July,27,2,0,3,2,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,136.33,0,2,Canceled,2015-06-29
Resort Hotel,0,3,2015,July,27,3,0,2,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240.0,,0,Transient,110.5,0,0,Check-Out,2015-07-05
Resort Hotel,1,51,2015,July,27,3,0,2,3,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,242.0,,0,Transient,110.3,0,0,Canceled,2015-06-09
Resort Hotel,0,2,2015,July,27,3,2,2,1,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,122.0,0,0,Check-Out,2015-07-07
Resort Hotel,0,81,2015,July,27,3,2,6,3,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,5.0,,0,Transient,85.86,0,0,Check-Out,2015-07-11
Resort Hotel,1,109,2015,July,27,3,0,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,123.0,0,1,Canceled,2015-05-26
Resort Hotel,0,78,2015,July,27,4,2,5,2,0.0,1,HB,PRT,Online TA,TA/TO,0,0,0,E,F,0,No Deposit,240.0,,0,Transient,139.0,0,2,Check-Out,2015-07-11
Resort Hotel,0,52,2015,July,27,4,2,5,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,147.0,,0,Transient,67.24,0,0,Check-Out,2015-07-11
Resort Hotel,0,92,2015,July,27,4,4,6,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,40.0,,0,Contract,71.55,0,1,Check-Out,2015-07-14
Resort Hotel,0,32,2015,July,27,4,0,1,4,0.0,0,FB,PRT,Complementary,Direct,0,0,0,H,H,2,No Deposit,,,0,Transient,0.0,0,1,Check-Out,2015-07-05
Resort Hotel,0,8,2015,July,27,4,0,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,123.0,0,0,Check-Out,2015-07-05
Resort Hotel,0,100,2015,July,27,4,1,1,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient-Party,73.8,0,2,Check-Out,2015-07-06
Resort Hotel,1,5,2015,July,28,5,1,0,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,97.0,0,0,Canceled,2015-07-01
Resort Hotel,0,2,2015,July,28,5,1,0,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,E,0,No Deposit,240.0,,0,Transient,98.0,0,0,Check-Out,2015-07-06
Resort Hotel,1,5,2015,July,28,5,1,0,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,97.0,0,0,Canceled,2015-07-01
Resort Hotel,1,34,2015,July,28,5,2,4,2,2.0,0,BB,PRT,Online TA,TA/TO,0,0,0,H,H,0,No Deposit,240.0,,0,Transient,163.0,0,0,Canceled,2015-06-17
Resort Hotel,0,27,2015,July,28,5,2,5,2,0.0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,175.0,,0,Transient,98.4,0,0,Check-Out,2015-07-12
Resort Hotel,0,82,2015,July,28,5,4,6,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,5.0,,0,Transient,63.6,1,2,Check-Out,2015-07-15
Resort Hotel,0,79,2015,July,28,5,4,10,2,0.0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,243.0,,0,Contract,134.1,0,0,Check-Out,2015-07-19
Resort Hotel,0,51,2015,July,28,6,1,3,2,0.0,0,BB,USA,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,241.0,,0,Transient,117.81,1,2,Check-Out,2015-07-10
Resort Hotel,0,94,2015,July,28,6,1,3,3,0.0,0,BB,CN,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,96.0,,0,Transient,171.32,0,1,Check-Out,2015-07-10
Resort Hotel,0,2,2015,July,28,6,1,0,2,1.0,0,BB,PRT,Direct,Direct,0,0,0,A,E,0,No Deposit,,,0,Transient,131.0,0,0,Check-Out,2015-07-07
Resort Hotel,0,66,2015,July,28,6,1,3,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,E,0,No Deposit,175.0,,0,Transient,91.5,0,0,Check-Out,2015-07-10
Resort Hotel,0,98,2015,July,28,6,1,5,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240.0,,0,Transient,117.8,1,1,Check-Out,2015-07-12
Resort Hotel,0,111,2015,July,28,6,3,5,2,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240.0,,0,Transient,151.0,0,1,Check-Out,2015-07-14
Resort Hotel,1,94,2015,July,28,6,3,7,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,87.3,0,0,Canceled,2015-05-14
Resort Hotel,0,65,2015,July,28,6,2,5,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,127.0,,0,Transient,83.5,0,0,Check-Out,2015-07-13
Resort Hotel,1,67,2015,July,28,7,0,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,73.8,0,1,Canceled,2015-05-07
Resort Hotel,0,88,2015,July,28,7,0,4,3,0.0,0,HB,USA,Offline TA/TO,TA/TO,0,0,0,D,E,0,No Deposit,95.0,,0,Transient,150.0,0,1,Check-Out,2015-07-11
Resort Hotel,1,43,2015,July,28,7,0,5,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,134.0,,0,Transient,91.5,0,0,Canceled,2015-05-28
Resort Hotel,1,88,2015,July,28,7,2,5,2,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,139.0,0,2,Canceled,2015-04-13
Resort Hotel,0,54,2015,July,28,7,2,5,2,0.0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,8.0,,0,Transient,79.5,0,0,Check-Out,2015-07-14
Resort Hotel,0,112,2015,July,28,7,4,10,2,0.0,0,HB,IRL,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,156.0,,0,Contract,126.65,0,1,Check-Out,2015-07-21
Resort Hotel,0,7,2015,July,28,8,0,4,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,131.0,1,2,Check-Out,2015-07-12
Resort Hotel,0,83,2015,July,28,8,0,4,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,105.0,,0,Transient,110.7,0,1,Check-Out,2015-07-12
Resort Hotel,0,100,2015,July,28,8,2,7,3,0.0,0,BB,DNK,Online TA,TA/TO,0,0,0,E,E,1,No Deposit,240.0,,0,Transient-Party,130.1,0,3,Check-Out,2015-07-17
Resort Hotel,0,100,2015,July,28,8,2,7,2,0.0,0,BB,DNK,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient-Party,100.1,0,2,Check-Out,2015-07-17
Resort Hotel,1,44,2015,July,28,9,0,3,2,2.0,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240.0,,0,Transient,153.0,0,0,Canceled,2015-06-16
Resort Hotel,1,103,2015,July,28,9,1,3,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,65.42,0,0,Canceled,2015-06-27
Resort Hotel,0,90,2015,July,28,9,2,5,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,143.0,,0,Contract,119.25,0,0,Check-Out,2015-07-16
Resort Hotel,0,249,2015,July,28,9,2,5,2,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,112.0,0,1,Check-Out,2015-07-16
Resort Hotel,0,108,2015,July,28,10,0,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,240.0,,0,Transient,87.3,0,2,Check-Out,2015-07-12
Resort Hotel,0,30,2015,July,28,10,2,2,2,0.0,0,FB,PRT,Direct,Direct,0,0,0,F,F,0,No Deposit,,,0,Transient-Party,197.0,0,1,Check-Out,2015-07-14
Resort Hotel,0,41,2015,July,28,10,4,7,2,0.0,1,BB,GBR,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,241.0,,0,Transient,110.6,0,0,Check-Out,2015-07-21
Resort Hotel,0,44,2015,July,28,11,2,3,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,120.6,0,0,Check-Out,2015-07-16
Resort Hotel,0,304,2015,July,28,11,2,4,2,0.0,1,BB,PRT,Direct,TA/TO,0,0,0,A,A,1,No Deposit,240.0,,0,Transient,90.67,0,1,Check-Out,2015-07-17
Resort Hotel,1,109,2015,July,28,11,2,5,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,73.8,0,1,Canceled,2015-04-22
Resort Hotel,0,0,2015,July,28,11,0,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,131.0,0,1,Check-Out,2015-07-12
Resort Hotel,0,71,2015,July,28,11,1,1,2,0.0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,175.0,,0,Transient,65.5,0,0,Check-Out,2015-07-13
Resort Hotel,0,40,2015,July,28,11,2,5,2,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,242.0,,0,Transient,166.0,0,0,Check-Out,2015-07-18
Resort Hotel,1,59,2015,July,28,11,2,6,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,111.25,0,2,Canceled,2015-05-19
Resort Hotel,0,33,2015,July,28,11,2,5,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,129.29,1,0,Check-Out,2015-07-18
Resort Hotel,0,53,2015,July,29,12,1,0,2,2.0,0,BB,CN,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240.0,,0,Transient,153.0,1,0,Check-Out,2015-07-13
Resort Hotel,0,31,2015,July,29,12,2,5,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,243.0,,0,Transient,123.0,0,0,Check-Out,2015-07-19
Resort Hotel,1,51,2015,July,29,12,2,5,2,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,241.0,,0,Transient,105.71,0,0,Canceled,2015-07-03
Resort Hotel,0,81,2015,July,29,12,2,5,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,147.0,,0,Transient,78.84,0,0,Check-Out,2015-07-19
Resort Hotel,0,88,2015,July,29,12,2,1,2,0.0,0,BB,ITA,Offline TA/TO,TA/TO,0,0,0,D,D,1,No Deposit,8.0,,0,Contract,79.5,0,0,Check-Out,2015-07-15
Resort Hotel,1,24,2015,July,29,12,2,1,2,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,128.0,0,0,Canceled,2015-06-22
Resort Hotel,0,60,2015,July,29,12,2,2,2,0.0,1,BB,FIN,Online TA,TA/TO,0,0,0,E,E,2,No Deposit,240.0,,0,Transient,107.0,0,2,Check-Out,2015-07-16
Resort Hotel,0,42,2015,July,29,13,1,2,2,0.0,0,BB,USA,Online TA,TA/TO,0,0,0,D,E,0,No Deposit,240.0,,0,Transient,110.0,1,0,Check-Out,2015-07-16
Resort Hotel,0,0,2015,July,29,13,1,3,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,167.0,,0,Transient,114.0,0,0,Check-Out,2015-07-17
Resort Hotel,1,60,2015,July,29,13,1,4,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,15.0,,0,Transient,79.5,0,0,Canceled,2015-06-24
Resort Hotel,0,40,2015,July,29,13,1,4,2,0.0,0,BB,ESP,Direct,Direct,0,0,0,D,D,0,No Deposit,250.0,,0,Transient,120.0,0,2,Check-Out,2015-07-18
Resort Hotel,0,38,2015,July,29,13,1,4,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,D,E,0,No Deposit,,,0,Transient,120.0,0,0,Check-Out,2015-07-18
Resort Hotel,0,101,2015,July,29,13,1,4,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,107.2,0,0,Check-Out,2015-07-18
Resort Hotel,0,88,2015,July,29,13,3,5,2,0.0,0,BB,FIN,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,8.0,,0,Contract,96.3,0,0,Check-Out,2015-07-21
Resort Hotel,1,40,2015,July,29,14,0,1,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,171.0,,0,Transient,105.5,0,0,Canceled,2015-07-03
Resort Hotel,0,1,2015,July,29,14,0,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,240.0,,0,Transient,146.0,1,1,Check-Out,2015-07-16
Resort Hotel,1,76,2015,July,29,14,0,4,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,126.0,0,2,Canceled,2015-05-27
Resort Hotel,0,73,2015,July,29,14,1,5,2,1.0,0,HB,PRT,Direct,Direct,0,0,0,E,E,0,No Deposit,,,0,Transient-Party,161.5,0,2,Check-Out,2015-07-20
Resort Hotel,0,38,2015,July,29,14,4,10,2,0.0,0,HB,SWE,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241.0,,0,Transient,109.9,0,2,Check-Out,2015-07-28
Resort Hotel,0,37,2015,July,29,15,2,6,2,2.0,0,BB,GBR,Online TA,TA/TO,0,0,0,H,H,0,No Deposit,240.0,,0,Transient,216.13,1,0,Check-Out,2015-07-23
Resort Hotel,0,57,2015,July,29,15,0,2,2,0.0,0,FB,PRT,Groups,Direct,0,0,0,A,A,0,No Deposit,305.0,,0,Transient-Party,107.0,0,0,Check-Out,2015-07-17
Resort Hotel,0,57,2015,July,29,15,0,2,3,0.0,0,FB,PRT,Groups,Direct,0,0,0,A,C,1,No Deposit,305.0,,0,Transient-Party,148.23,0,0,Check-Out,2015-07-17
Resort Hotel,0,57,2015,July,29,15,0,2,2,0.0,0,FB,PRT,Groups,Direct,0,0,0,A,A,0,No Deposit,305.0,,0,Transient-Party,107.0,0,0,Check-Out,2015-07-17
Resort Hotel,1,66,2015,July,29,16,0,2,2,2.0,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240.0,,0,Transient,195.0,0,1,Canceled,2015-07-02
Resort Hotel,0,0,2015,July,29,16,0,2,2,2.0,0,BB,PRT,Direct,Direct,0,0,0,H,G,1,No Deposit,,,0,Transient,198.0,1,0,Check-Out,2015-07-18
Resort Hotel,0,13,2015,July,29,16,0,2,2,1.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240.0,,0,Transient,135.6,0,1,Check-Out,2015-07-18
Resort Hotel,0,66,2015,July,29,16,0,2,2,0.0,0,BB,DNK,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,103.5,0,1,Check-Out,2015-07-18
Resort Hotel,1,10,2015,July,29,16,0,3,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,250.0,,0,Transient,134.0,0,0,Canceled,2015-07-13
Resort Hotel,1,35,2015,July,29,16,1,3,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,135.0,0,0,Canceled,2015-06-13
Resort Hotel,0,2,2015,July,29,17,0,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,196.0,,0,Transient,112.0,0,0,Check-Out,2015-07-19
Resort Hotel,1,23,2015,July,29,17,2,5,2,2.0,0,BB,PRT,Direct,Direct,0,0,0,G,G,0,No Deposit,250.0,,0,Transient,195.0,0,0,Canceled,2015-06-24
Resort Hotel,0,90,2015,July,29,17,2,5,2,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,240.0,,0,Transient,132.3,0,3,Check-Out,2015-07-24
Resort Hotel,0,65,2015,July,29,17,2,6,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,167.0,1,2,Check-Out,2015-07-25
Resort Hotel,0,99,2015,July,29,17,2,6,3,0.0,0,BB,FRA,Direct,Direct,0,0,0,H,H,0,No Deposit,250.0,,0,Transient,210.0,0,1,Check-Out,2015-07-25
Resort Hotel,0,92,2015,July,29,17,1,2,2,0.0,0,BB,MOZ,Online TA,TA/TO,0,0,0,A,A,3,No Deposit,240.0,,0,Transient,103.5,1,3,Check-Out,2015-07-20
Resort Hotel,0,91,2015,July,29,17,1,2,2,1.0,0,BB,BWA,Online TA,TA/TO,0,0,0,A,A,3,No Deposit,240.0,,0,Transient,118.5,0,3,Check-Out,2015-07-20
Resort Hotel,0,13,2015,July,29,17,1,2,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,126.3,0,2,Check-Out,2015-07-20
Resort Hotel,0,9,2015,July,29,17,2,2,3,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,164.0,0,1,Check-Out,2015-07-21
Resort Hotel,1,37,2015,July,29,18,2,4,2,2.0,0,HB,PRT,Online TA,TA/TO,0,0,0,C,C,0,No Deposit,242.0,,0,Transient,168.3,0,0,Canceled,2015-07-18
Resort Hotel,0,26,2015,July,29,18,2,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,132.6,1,0,Check-Out,2015-07-22
Resort Hotel,1,42,2015,July,29,18,2,3,2,2.0,0,BB,PRT,Online TA,TA/TO,0,0,0,H,H,0,No Deposit,240.0,,0,Transient,210.0,0,0,Canceled,2015-06-11
Resort Hotel,0,73,2015,July,29,18,2,5,2,1.0,0,FB,PRT,Direct,Direct,0,0,0,D,D,0,No Deposit,,,0,Transient,241.5,0,2,Check-Out,2015-07-25
Resort Hotel,0,44,2015,July,29,18,2,5,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,177.0,1,0,Check-Out,2015-07-25
Resort Hotel,0,95,2015,July,29,18,2,5,2,0.0,0,FB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,5.0,,0,Transient,153.73,1,0,Check-Out,2015-07-25
Resort Hotel,0,94,2015,July,29,18,2,5,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,D,0,No Deposit,250.0,,0,Transient,115.0,0,1,Check-Out,2015-07-25
Resort Hotel,0,57,2015,July,29,18,2,6,2,0.0,0,HB,ESP,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,196.0,,0,Transient,135.0,0,1,Check-Out,2015-07-26
Resort Hotel,0,104,2015,July,30,19,2,5,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,115.0,,0,Contract,123.0,0,1,Check-Out,2015-07-26
Resort Hotel,1,31,2015,July,30,19,2,5,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,154.0,0,0,Canceled,2015-06-19
Resort Hotel,0,47,2015,July,30,19,2,4,2,1.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,241.0,,0,Transient,129.16,0,1,Check-Out,2015-07-25
Resort Hotel,1,104,2015,July,30,19,2,4,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,115.0,0,2,Canceled,2015-07-02
Resort Hotel,0,104,2015,July,30,19,2,5,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,115.0,,0,Contract,123.0,0,1,Check-Out,2015-07-26
Resort Hotel,0,123,2015,July,30,19,2,4,2,0.0,1,BB,ESP,Online TA,TA/TO,0,0,0,E,E,2,No Deposit,240.0,,0,Transient,130.5,0,1,Check-Out,2015-07-25
Resort Hotel,1,118,2015,July,30,20,1,2,2,2.0,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240.0,,0,Transient,179.1,0,2,Canceled,2015-05-13
Resort Hotel,0,0,2015,July,30,20,0,0,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,I,0,No Deposit,241.0,,0,Transient,0.0,0,1,Check-Out,2015-07-20
Resort Hotel,0,79,2015,July,30,20,1,3,2,0.0,1,BB,PRT,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240.0,,0,Transient,115.0,0,3,Check-Out,2015-07-24
Resort Hotel,0,42,2015,July,30,20,2,5,2,0.0,0,FB,ESP,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,175.0,,0,Transient,148.34,0,0,Check-Out,2015-07-27
Resort Hotel,1,86,2015,July,30,20,2,5,2,1.0,0,HB,PRT,Direct,Direct,0,0,0,A,A,1,No Deposit,250.0,,0,Transient,172.93,0,1,Canceled,2015-05-11
Resort Hotel,0,28,2015,July,30,20,2,5,2,1.0,0,FB,PRT,Offline TA/TO,TA/TO,0,0,0,F,F,0,No Deposit,15.0,,0,Transient,192.5,0,1,Check-Out,2015-07-27
Resort Hotel,0,39,2015,July,30,20,3,7,2,1.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,1,No Deposit,142.0,,0,Transient,141.6,0,1,Check-Out,2015-07-30
Resort Hotel,0,39,2015,July,30,20,3,7,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,142.0,,0,Transient,141.6,0,1,Check-Out,2015-07-30
Resort Hotel,1,7,2015,July,30,20,3,8,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,196.0,,0,Transient,200.0,0,0,Canceled,2015-07-14
Resort Hotel,1,44,2015,July,30,22,0,4,2,2.0,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240.0,,0,Transient,195.0,0,1,Canceled,2015-06-09
Resort Hotel,0,73,2015,July,30,23,0,0,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,I,1,No Deposit,240.0,,0,Transient,0.0,0,1,Check-Out,2015-07-23
